Order Date,Region,Product Category,Sales,Profit,Month,Year
2010-10-13,Nunavut,Office Supplies,261.54,-213.25,Oct,2010
2012-10-01,Nunavut,Office Supplies,10123.02,457.81,Oct,2012
2012-10-01,Nunavut,Office Supplies,244.57,46.71,Oct,2012
2011-07-10,Nunavut,Technology,4965.7595,1198.97,Jul,2011
2010-08-28,Nunavut,Office Supplies,394.27,30.94,Aug,2010
2010-08-28,Nunavut,Furniture,146.69,4.43,Aug,2010
2011-06-17,Nunavut,Office Supplies,93.54,-54.04,Jun,2011
2011-06-17,Nunavut,Office Supplies,905.08,127.7,Jun,2011
2011-03-24,Nunavut,Office Supplies,2781.82,-695.26,Mar,2011
2010-02-26,Nunavut,Office Supplies,228.41,-226.36,Feb,2010
2010-11-23,Nunavut,Office Supplies,196.85,-166.85,Nov,2010
2010-11-23,Nunavut,Office Supplies,124.56,-14.33,Nov,2010
2012-06-08,Nunavut,Office Supplies,716.84,134.72,Jun,2012
2012-06-08,Nunavut,Technology,1474.33,114.46,Jun,2012
2012-08-04,Nunavut,Office Supplies,80.61,-4.72,Aug,2012
2011-05-30,Nunavut,Furniture,1815.49,782.91,May,2011
2009-11-25,Nunavut,Office Supplies,248.26,93.8,Nov,2009
2012-02-14,Nunavut,Furniture,4462.23,440.72,Feb,2012
2012-02-14,Nunavut,Furniture,663.784,-481.04,Feb,2012
2012-04-15,Nunavut,Technology,834.904,-11.68,Apr,2012
2012-04-15,Nunavut,Technology,2480.9205,313.58,Apr,2012
2010-03-12,Nunavut,Office Supplies,59.03,26.92,Mar,2010
2010-03-12,Nunavut,Office Supplies,97.48,-5.77,Mar,2010
2011-03-09,Nunavut,Office Supplies,511.83,-172.88,Mar,2011
2011-03-09,Nunavut,Technology,184.99,-144.55,Mar,2011
2012-08-04,Nunavut,Office Supplies,80.9,5.76,Aug,2012
2011-05-06,Nunavut,Office Supplies,67.24,4.9,May,2011
2010-12-23,Nunavut,Technology,12028.23,-547.61,Dec,2010
2010-11-08,Nunavut,Office Supplies,370.48,-5.45,Nov,2010
2012-10-21,Nunavut,Office Supplies,278.0,41.67,Oct,2012
2011-01-01,Nunavut,Technology,66.54,-46.03,Jan,2011
2011-01-01,Nunavut,Office Supplies,845.32,33.67,Jan,2011
2011-10-10,Nunavut,Office Supplies,282.07,140.01,Oct,2011
2011-10-10,Nunavut,Technology,426.037,-78.96,Oct,2011
2010-09-23,Nunavut,Technology,1078.49,252.66,Sep,2010
2011-07-19,Nunavut,Furniture,3554.46,-1766.01,Jul,2011
2009-10-09,Nunavut,Office Supplies,191.67,-236.27,Oct,2009
2009-10-09,Nunavut,Furniture,5586.33,80.44,Oct,2009
2009-10-09,Nunavut,Office Supplies,507.64,118.94,Oct,2009
2010-12-09,Nunavut,Furniture,14223.82,3424.22,Dec,2010
2012-10-08,Nunavut,Office Supplies,42.66,-11.83,Oct,2012
2012-05-02,Nunavut,Office Supplies,427.32,52.35,May,2012
2010-03-08,Nunavut,Technology,820.284,-180.2,Mar,2010
2011-05-28,Nunavut,Office Supplies,14.76,1.32,May,2011
2010-09-19,Nunavut,Office Supplies,89.55,-375.64,Sep,2010
2011-08-31,Nunavut,Technology,1210.0515,-104.25,Aug,2011
2011-08-31,Nunavut,Office Supplies,187.83,85.96,Aug,2011
2011-08-31,Nunavut,Office Supplies,49.59,-8.38,Aug,2011
2011-08-31,Nunavut,Technology,4253.009,1115.69,Aug,2011
2011-07-08,Nunavut,Office Supplies,59.38,-3.05,Jul,2011
2009-01-30,Nunavut,Technology,1285.37,514.07,Jan,2009
2012-01-08,Nunavut,Office Supplies,48.91,-7.04,Jan,2012
2010-11-07,Nunavut,Office Supplies,129.62,4.41,Nov,2010
2010-04-29,Nunavut,Furniture,118.97,-0.06,Apr,2010
2011-12-31,Nunavut,Technology,61.8715,-50.33,Dec,2011
2009-08-12,Nunavut,Office Supplies,384.33,87.68,Aug,2009
2009-08-12,Nunavut,Office Supplies,239.03,-68.22,Aug,2009
2011-11-12,Nunavut,Furniture,3922.42,-354.9,Nov,2011
2011-11-12,Nunavut,Technology,1733.3625,-267.01,Nov,2011
2012-01-20,Nunavut,Office Supplies,208.28,3.63,Jan,2012
2009-03-20,Nunavut,Office Supplies,9620.82,-1759.58,Mar,2009
2012-07-21,Nunavut,Office Supplies,255.48,-116.79,Jul,2012
2012-07-21,Nunavut,Office Supplies,130.32,-67.28,Jul,2012
2012-06-12,Nunavut,Office Supplies,312.36,-19.33,Jun,2012
2009-01-15,Nunavut,Office Supplies,217.0,-61.21,Jan,2009
2009-01-15,Nunavut,Office Supplies,296.13,119.09,Jan,2009
2010-06-04,Nunavut,Office Supplies,436.17,-141.27,Jun,2010
2010-02-18,Nunavut,Office Supplies,136.29,-77.28,Feb,2010
